file,size,heuristic_rects,heuristic_sel_pct,heuristic_payload_pct,heuristic_ms,iforest_rects,iforest_sel_pct,iforest_payload_pct,iforest_ms
"106677.46099853516 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,278,70.57,71.1,47,447,24.56,25.42,173
"106726.00399684906 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,228,70.3,70.74,62,416,23.72,24.52,157
"106773.63194465637 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,186,68.38,68.74,40,459,23.03,23.91,154
"106825.2429728508 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,205,71.23,71.63,47,464,26.13,27.02,182
"106870.09596681595 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,203,72.54,72.93,46,382,18.55,19.29,157
"106919.73598861694 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,239,74.68,75.14,47,383,20.89,21.63,157
"106967.31696796417 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,217,75.29,75.71,53,408,21.7,22.49,167
"107017.23397254944 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,199,74.21,74.59,31,466,24.43,25.33,185
"107063.10298728943 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,201,74.75,75.14,46,424,24.98,25.79,173
"107111.76298952103 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,198,76.2,76.59,31,486,25.98,26.92,173
"107159.3799700737 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,212,76.77,77.18,49,489,28.59,29.53,171
"107207.27995347977 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,177,75.27,75.61,27,441,20.99,21.84,172
"107253.61996412277 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,176,74.88,75.21,31,515,30.17,31.16,189
"107303.38998365402 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,196,75.74,76.11,37,394,23.5,24.26,167
"107350.13494825363 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,193,76.7,77.07,31,521,33.05,34.05,189
"107397.46099853516 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,209,78.17,78.57,47,501,35.53,36.49,157
"107445.58199596405 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,193,77.95,78.32,46,491,29.21,30.15,173
"107493.55898857117 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,198,79.45,79.83,41,448,29.08,29.95,157
"107541.77398252487 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,217,80.76,81.17,46,438,26.33,27.17,173
"107589.45694541931 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,192,82.26,82.63,41,495,33.39,34.34,163
"107637.96799564362 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,185,81.54,81.9,47,501,31.54,32.51,174
"107685.60297679901 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,187,83.14,83.5,31,484,28.59,29.52,172
"107735.7729434967 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,200,85.04,85.42,28,442,26.94,27.79,189
"107781.64899158478 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,183,85.48,85.83,51,479,32.41,33.33,215
"107833.2309923172 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,195,86.64,87.01,41,433,27.83,28.66,163
"107879.22398471832 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,223,84.92,85.34,40,405,28.64,29.42,163
"107927.6709599495 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,179,86.79,87.13,47,416,29.31,30.11,157
"110672.72398710251 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,156,82.9,83.2,31,373,18.7,19.42,185
"110720.74395465851 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,144,78.79,79.06,47,403,26.7,27.47,157
"110768.77894258499 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,139,80.93,81.2,47,406,24.14,24.92,166
"110816.75599479675 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,171,78.52,78.85,31,476,25.42,26.33,188
"110864.61294364929 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,225,75.42,75.85,31,434,24.58,25.42,189
"110912.69197940826 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,141,78.84,79.11,47,434,24.83,25.66,178
"110960.77095556259 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,171,78.59,78.92,36,460,24.46,25.34,169
"111008.7029466629 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,180,77.73,78.08,31,479,30.59,31.51,173
"111056.79497623444 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,221,72.69,73.11,47,526,28.74,29.75,177
"111105.05896520615 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,221,76.62,77.05,47,431,22.76,23.59,175
"111153.37194919586 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,208,69.36,69.76,47,417,23.6,24.4,157
"111201.12494754791 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,240,72.86,73.32,47,450,24.21,25.08,173
"111249.72999429703 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,268,72.96,73.47,46,435,21.75,22.59,172
